[2025-03-29 17:08:10,281] INFO - Starting fold 1
[2025-03-29 17:08:10,281] INFO - Constructing hypergraph incidence matrix! (This may take several minutes...)
[2025-03-29 17:08:12,719] INFO - Constructing hypergraph incidence matrix! (This may take several minutes...)
[2025-03-29 17:08:13,865] INFO - Constructing hypergraph incidence matrix! (This may take several minutes...)
[2025-03-29 17:08:22,569] INFO - Fold 1 Epoch 245: Test Loss 0.5829, Test Acc 0.6714, Test F1 0.6711
[2025-03-29 17:08:22,725] INFO - Fold 1 Epoch 250: Train Loss 0.5720, Train Acc 0.6738, Train F1 0.6662
[2025-03-29 17:08:22,725] INFO - Fold 1 Epoch 250: Test Loss 0.5791, Test Acc 0.6714, Test F1 0.6711
[2025-03-29 17:08:22,880] INFO - Fold 1 Epoch 255: Train Loss 0.5998, Train Acc 0.6703, Train F1 0.6703
[2025-03-29 17:08:22,880] INFO - Fold 1 Epoch 255: Test Loss 0.6305, Test Acc 0.6143, Test F1 0.6007
[2025-03-29 17:08:23,034] INFO - Fold 1 Epoch 260: Train Loss 0.5965, Train Acc 0.6703, Train F1 0.6703
[2025-03-29 17:08:23,034] INFO - Fold 1 Epoch 260: Test Loss 0.6263, Test Acc 0.6000, Test F1 0.5881
[2025-03-29 17:08:23,189] INFO - Fold 1 Epoch 265: Train Loss 0.5748, Train Acc 0.6846, Train F1 0.6761
[2025-03-29 17:08:23,189] INFO - Fold 1 Epoch 265: Test Loss 0.5992, Test Acc 0.6857, Test F1 0.6860
[2025-03-29 17:08:23,345] INFO - Fold 1 Epoch 270: Train Loss 0.5657, Train Acc 0.6918, Train F1 0.6903
[2025-03-29 17:08:23,345] INFO - Fold 1 Epoch 270: Test Loss 0.5639, Test Acc 0.6429, Test F1 0.6395
[2025-03-29 17:08:23,498] INFO - Fold 1 Epoch 275: Train Loss 0.6737, Train Acc 0.6667, Train F1 0.6665
[2025-03-29 17:08:23,498] INFO - Fold 1 Epoch 275: Test Loss 0.7722, Test Acc 0.6000, Test F1 0.5835
[2025-03-29 17:08:23,655] INFO - Fold 1 Epoch 280: Train Loss 0.5775, Train Acc 0.6882, Train F1 0.6740
[2025-03-29 17:08:23,655] INFO - Fold 1 Epoch 280: Test Loss 0.5954, Test Acc 0.6857, Test F1 0.6837
[2025-03-29 17:08:23,801] INFO - Fold 1 Epoch 285: Train Loss 0.5670, Train Acc 0.6738, Train F1 0.6662
[2025-03-29 17:08:23,801] INFO - Fold 1 Epoch 285: Test Loss 0.5742, Test Acc 0.6714, Test F1 0.6711
[2025-03-29 17:08:23,931] INFO - Fold 1 Epoch 290: Train Loss 0.6036, Train Acc 0.6738, Train F1 0.6738
